,0
921,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
922,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 15202, 1491, 13700, 10328, 8350]]"
923,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 12388, 1213]]"
924,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 15202, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
925,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 14611, 2241, 5978, 1491, 13700, 10328, 8350]]"
926,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 14051, 1491, 13700, 10328, 8350]]"
927,"[[3553, 11912, 13743, 3390, 15881, 14611, 5347, 1630, 16334, 556, 5490, 11785, 5577, 1587, 5978, 2241, 1491, 13700, 10328, 8350]]"
928,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
929,"[[3553, 11912, 3272, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 5978, 2241, 1491, 13700, 10328, 1213]]"
930,"[[3553, 14611, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
931,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
932,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
933,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 13296, 5490, 15857, 11785, 1587, 5577, 15088, 2241, 5978, 1491, 13700]]"
934,"[[3553, 11912, 3272, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213]]"
935,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 3272, 8350]]"
936,"[[3553, 11912, 3390, 15881, 13603, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
937,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
938,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
939,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
940,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5577, 5490, 11785, 2241, 1587, 5978, 10328, 13700, 1491, 7335, 8350]]"
941,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 14051, 2241, 5978, 1491, 13700, 10328, 8350]]"
942,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
943,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 13296, 5577, 2241, 5978, 1491, 13700, 10328, 14611]]"
944,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 15202, 1491, 13700, 10328, 1213]]"
945,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 16051, 1491, 13700, 10328, 8350]]"
946,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 15202, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 14183]]"
947,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 1491, 2241, 5978, 13700, 10328, 8350, 1213]]"
948,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
949,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
950,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 11740, 1491, 13700, 10328, 1213]]"
951,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 14051, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
952,"[[3553, 11912, 3390, 11057, 15881, 13743, 5347, 12711, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328]]"
953,"[[3553, 11912, 3390, 14611, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 15202, 13700, 10328]]"
954,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 11057, 1213]]"
955,"[[3553, 11912, 3390, 15881, 5347, 13743, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
956,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 5577, 1587, 5978, 2241, 13700, 10328, 1491, 8350, 1213]]"
957,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
958,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 15857, 1491, 13700, 10328, 8350]]"
959,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 5577, 1587, 2241, 5978, 1491, 13700, 10328, 10859, 8350]]"
960,"[[3553, 11912, 3390, 15881, 13603, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213]]"
961,"[[3553, 11912, 13743, 3390, 3272, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
962,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
963,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
964,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 15202, 13700, 10328, 8350]]"
965,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 16051, 1491, 13700, 10328, 8350]]"
966,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 15202, 12704, 1491, 13700, 10328]]"
967,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
968,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
969,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
970,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 4178, 8350]]"
971,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 15202, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213]]"
972,"[[3553, 11912, 3390, 8032, 15881, 5347, 13743, 1630, 16334, 556, 5490, 11785, 1587, 5577, 15202, 2241, 5978, 4874, 1491, 13700]]"
973,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
974,"[[3553, 11912, 8032, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213]]"
975,"[[3553, 11912, 3390, 3272, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213]]"
976,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
977,"[[3553, 11912, 13743, 14611, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
978,"[[3553, 11912, 13743, 3390, 471, 15881, 4579, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328]]"
979,"[[3553, 11912, 3390, 15881, 5347, 13743, 1630, 16334, 556, 5490, 11785, 1587, 5577, 11057, 2241, 5978, 1491, 13700, 10328, 8350]]"
980,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 12704, 2241, 5978, 1491, 13700, 10328, 8350]]"
981,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 11057, 10328, 1213]]"
982,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 14436, 1491, 4178, 13700, 10328]]"
983,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
984,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 14611, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
985,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 5577, 11785, 1587, 5978, 2241, 13700, 10328, 1491, 7335, 8350]]"
986,"[[3553, 14611, 11912, 13743, 3390, 3272, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 1491, 2241, 5978, 9415, 13700]]"
987,"[[3553, 11912, 13743, 13521, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213]]"
988,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 14051, 2241, 5978, 1491, 13700, 15202, 10328]]"
989,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
990,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
991,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
992,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 14051, 2241, 5978, 1491, 13700, 10328, 8350]]"
993,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 1491, 2241, 5978, 13700, 10328, 8350, 1213]]"
994,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
995,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
996,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5577, 5490, 11785, 1587, 2241, 5978, 13700, 10328, 1491, 8350, 1213]]"
997,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 4178, 1491, 13700, 10328, 1213]]"
998,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 5577, 1587, 2241, 5978, 13700, 1491, 10328, 7335, 1213]]"
999,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 14611, 13700, 10328, 8350]]"
1000,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
1001,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1002,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 14611, 8350]]"
1003,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1004,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
1005,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1006,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 12704, 1213]]"
1007,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1008,"[[3553, 11912, 2810, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213]]"
1009,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1010,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
1011,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
1012,"[[3553, 11912, 3390, 15881, 11057, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
1013,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1014,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1015,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1016,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 15202, 1491, 13700, 10328, 8350]]"
1017,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8032, 4178]]"
1018,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1019,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1020,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 5577, 14436, 1587, 2241, 5978, 13700, 4178, 1491, 10328]]"
1021,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
1022,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 4178, 1491, 5577, 2241, 5978, 3863, 13700, 10328]]"
1023,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 1587, 11785, 5577, 2241, 5978, 14051, 1491, 13700, 10328, 8350]]"
1024,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1025,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 15202, 1491, 13700, 10328, 1213]]"
1026,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
1027,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 4178, 10328, 8350]]"
1028,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 8490, 13700, 10328, 8350]]"
1029,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
1030,"[[3553, 11912, 13743, 3390, 15881, 5347, 10870, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
1031,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
1032,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1033,"[[3553, 11912, 13743, 354, 3390, 15881, 14611, 14436, 5347, 1630, 16334, 556, 4178, 5577, 5490, 11785, 5978, 2241, 1587, 13700]]"
1034,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 1587, 11785, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1035,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 13296, 2241, 5978, 1491, 13700, 10328, 1213]]"
1036,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1037,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1038,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 4178, 5978, 1491, 13700, 10328, 8350]]"
1039,"[[3553, 11912, 3390, 15881, 13603, 5347, 13743, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
1040,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 1587, 11785, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1041,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 5978, 2241, 1491, 13700, 10328, 8350, 1213]]"
1042,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1043,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 1587, 11785, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
1044,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13296, 13700, 10328, 8350]]"
1045,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
1046,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 5577, 1587, 2241, 5978, 13700, 10328, 1491, 1213, 8350]]"
1047,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 14051, 1491, 13700, 10328, 1213]]"
1048,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
1049,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1050,"[[3553, 14611, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
1051,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 1587, 5490, 11785, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1052,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 15202, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
1053,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1054,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 1587, 11785, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1055,"[[3553, 11912, 13743, 3390, 3272, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213]]"
1056,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
1057,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
1058,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1059,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1060,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1061,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1062,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1063,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 15202, 10328, 8350]]"
1064,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
1065,"[[3553, 11912, 3390, 13743, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
1066,"[[3553, 11912, 8032, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 5978, 2241, 1491, 13700, 10328, 8350]]"
1067,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 15202, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213]]"
1068,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1069,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
1070,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 5577, 1587, 11057, 5978, 2241, 1491, 13700, 10328, 1213]]"
1071,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
1072,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 11150, 2241, 5978, 1491, 13700, 15088, 10328]]"
1073,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1074,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 5577, 1587, 2241, 5978, 1491, 13700, 10328, 7335, 1213]]"
1075,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1076,"[[3553, 11912, 3390, 15881, 5347, 13743, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 13700, 1491, 10328, 8350, 1213]]"
1077,"[[3553, 11912, 13743, 3390, 15881, 5347, 9263, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350]]"
1078,"[[3553, 11912, 3390, 15881, 13743, 5347, 1630, 16334, 556, 5490, 11785, 5577, 1587, 5978, 2241, 1491, 13700, 10328, 7335, 1213]]"
1079,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 8350, 1213]]"
1080,"[[3553, 11912, 13743, 3390, 15881, 5347, 1630, 16334, 556, 5490, 11785, 1587, 5577, 13296, 2241, 5978, 1491, 13700, 10328, 1213]]"
1081,"[[3553, 11912, 3390, 15881, 5347, 13743, 1630, 16334, 556, 5490, 11785, 1587, 5577, 2241, 5978, 1491, 13700, 10328, 1213, 8350]]"
